question,answer,A,B,C,D,Category,Human Accuracy
입출력장치와 CPU의 실행 속도차를 줄이기 위해 사용하는 것은?,2,Parallel I/O Device,Channel,Cycle steal,DMA,Information Technology,0.4853
"휴대용 무전기와 같이 데이터를 양쪽 방향으로 전송할 수 있으나, 동시에 양쪽 방향으로 전송할 수 없는 전송 방식은?",3,단일 방식,단방향 방식,반이중 방식,전이중 방식,Information Technology,0.6175999999999999
00001111 과 11110000 의 OR 논리 연산 결과는?,2,00000000,11111111,00001111,11110000,Information Technology,0.7625
순차 접근 저장매체(SASD)에 해당하는 것은?,2,자기 드럼,자기 테이프,자기 디스크,자기 코어,Information Technology,0.5942000000000001
컴퓨터와 인간의 통신에 있어서 자료의 외부적 표현 방식으로 가장 흔히 사용되는 코드는?,3,3초과 코드,Gray 코드,ASCII 코드,BCD 코드,Information Technology,0.6712
0-9의 10진법의 수치는 2진법의 최저 몇 비트(Bit)로 표현되는가?,2,3 비트,4 비트,6 비트,8 비트,Information Technology,0.6029
병렬전송에 대한 설명 중 틀린 것은?,1,하나의 통신회선을 사용하여 한 비트씩 순차적으로 전송하는 방식이다.,문자를 구성하는 비트 수만큼 통신 회선이 필요하다.,한 번에 한문자를 전송하므로 고속처리를 필요로 하는 경우와 근거리 데이터 전송에 유리하다.,원거리 전송인 경우 여러 개의 통신회선이 필요하므로 회선 비용이 많이 든다.,Information Technology,0.4236999999999999
"하나의 채널이 고속 입출력 장치를 하나씩 순차적으로 관리하며, 블록(Block) 단위로 전송하는 채널은?",2,사이클 채널(Cycle channel),셀렉터 채널(Selector channel),멀티플렉서 채널(Multiplexer channel),블록 멀티플렉서 채널(Block multiplexer channel),Information Technology,0.381
중앙처리장치(CPU)내의 기억 기능을 수행하는 요소는?,1,레지스터(Register),연산기(A.L.U),제어 버스(Control bus),주소 버스(Address bus),Information Technology,0.7119
일반적인 컴퓨터의 내부구조를 설명할 때 사용하는 연산방식이 아닌 것은?,2,2진수 연산,6진수 연산,8진수 연산,16진수 연산,Information Technology,0.7541
입력 단자에 나타난 정보를 코드화 하여 출력으로 내보내는 것으로 해독기와 정반대의 기능을 수행하는 조합 논리회로는?,4,Adder,Flip-Flop,Multiplexer,Encoder,Information Technology,0.541
부동 소수점으로 표현된 수가 기억장치 내에 저장되어 있을 때 비트를 필요로 하지 않는 것은?,4,부호(sign),지수(exponent),소수(mantissa),소수점(decimal point),Information Technology,0.5254
사진이나 그림 등에 빛을 쪼여 반사되는 것을 판별하여 복사하는 것처럼 이미지를 입력하는 장치는?,4,플로터,마우스,프린터,스캐너,Information Technology,0.6609999999999999
"컴퓨터 내부에 있으며, 연산 결과를 일시 보관하는 기억 장치는?",1,Accumulator,Magnetic memory,shift register,Buffer register,Information Technology,0.55
고급 언어의 특징으로 옳지 않은 것은?,2,기종에 관계없이 사용할 수 있어 호환성이 높다.,2진수 형태로 이루어진 언어로 전자계산기가 직접 이해할 수 있는 형태의 언어이다.,하드웨어에 관한 전문적 지식이 없어도 프로그램 작성이 용이하다.,"프로그래밍 작업이 쉽고, 수정이 용이하다.",Information Technology,0.6
유닉스(UNIX) 운영 체제를 개발하는데 사용된 언어는?,4,FORTRAN,PASCAL,BASIC,C,Information Technology,0.6349
C언어에서 문자열 출력 함수로 사용되는 것은?,4,putchar(),getchar(),gets(),puts(),Information Technology,0.5424
프로그램 작성시 반복되는 일련의 명령어들을 하나의 명령으로 만들어 실행시키는 방법은?,1,매크로,디버깅,스케줄링,모니터,Information Technology,0.7193
구조적 프로그래밍에 대한 설명으로 거리가 먼 것은?,4,유지보수가 용이하다.,프로그램의 구조가 간결하다.,모듈별 독립성과 처리의 효율성이 고려된다.,실행 속도는 빠른 편이나 프로그램의 내용을 파악하기가 까다롭다.,Information Technology,0.5439
프로그램 수행을 위하여 사용자의 프로그램을 필요한 루트와 함께 메모리에 적재시키는 시스템 프로그램은?,3,컴파일러(compiler),어셈블러(assembler),로더(loader),매크로(macro),Information Technology,0.6207
회로의 안정 상태에 따른 멀티바이브레이터의 종류가 아닌 것은?,2,비안정 멀티바이브레이터,주파수 안정 멀티바이브레이터,단안정 멀티바이브레이터,쌍안정 멀티바이브레이터,Information Technology,0.5167
불 대수의 기본 정리 중 옳지 않은 것은?,4,Aㆍ0 = 0,AㆍA = A,A + A = A,A + 1 = A,Information Technology,0.6866
동기형 계수 회로의 설명 중 옳지 않은 것은?,3,병렬 계수기라고도 한다.,리플 계수기 보다 속도가 빠르다.,해독기를 사용할 때 펄스의 일그러짐이 크다.,하나의 공통된 클록 펄스에 의해서 플립플롭들이 트리거 된다.,Information Technology,0.449
3초과 부호 (1001 0111 0101)를 BCD 부호로 고치면?,1,(0110 0100 0010)BCD,(0010 0100 0110)BCD,(0101 0111 1001)BCD,(0110 1000 1010)BCD,Information Technology,0.4314
전원 공급에 관계없이 저장된 내용을 반영구적으로 유지하는 비휘발성 메모리는?,2,RAM,ROM,SRAM,DRAM,Information Technology,0.6949
1×4 디멀티플렉서에 최소로 필요한 선택 선의 개수는?,2,1개,2개,3개,4개,Information Technology,0.6034
2진수 1011110112을 16진수로 변환하면?,2,17A16,17B16,17C16,17D16,Information Technology,0.4706
클럭 펄스가 들어올 때마다 플립플롭의 상태가 반전되는 것을 무엇이라고 하는가?,3,리셋,클리어,토글,트리거,Information Technology,0.6724
"반가산기에서 입력 A = 1 이고, B = 0 이면 출력 합(S)과 올림수(C)는?",1,"S = 1, C = 0","S = 0, C = 0","S = 1, C = 1","S = 0, C = 1",Information Technology,0.7119
두 수를 비교하여 그들의 상대적 크기를 결정하는 조합 논리 회로는?,3,가산기,디코더,비교기,모뎀,Information Technology,0.6833
클록 펄스가 가해질 때마다 출력 상태가 반전하므로 계수기에 많이 사용되는 플립플롭은?,2,D-FF,T-FF,RS-FF,JK-FF,Information Technology,0.4426
JK 플립플롭에서 J입력과 K입력이 1일 때 출력은 clock에 의해 어떻게 되는가?,3,0,1,반전,현 상태 그대로 출력,Information Technology,0.6667000000000001
시스템 온 칩(SoC)에 대한 특징으로 틀린 것은?,1,핀의 수가 많아서 연결 및 신호 오류가 많이 발생한다.,외부 연결 핀이 많아져 칩 소켓은 매우 정교하게 제작된다.,칩이 시스템이고 시스템이 칩인 반도체이다.,시스템의 면적과 가격을 최소화 할 수 있다.,Information Technology,0.5714
PN 접합 다이오드가 순방향 바이어스 되었을 때 일어나는 현상으로 옳은 것은?,3,공핍층 폭이 증가한다.,접합의 정전용량이 감소한다.,저항이 감소한다.,다수캐리어의 전류가 증가하여 전류가 흐르지 않는다.,Information Technology,0.6667000000000001
펄스폭이 15us이고 주파수가 500kHz일 때 충격 계수는?,2,1,7.5,10,0.1,Information Technology,0.6429
펄스폭이 1초이고 반복주기가 5초이면 주파수는 몇 Hz 인가?,1,0.2,0.25,2,5,Information Technology,0.4545
트랜지스터의 부궤환 증폭기의 특징에 대한 설명으로 가장 적합한 것은?,2,이득을 증가시킨다.,잡음과 왜곡을 개선한다.,발진회로로 많이 사용된다.,입력 및 출력 임피던스가 증가한다.,Information Technology,0.55
저항을 R 이라고 하면 컨덕턴스 G[℧]는 어떻게 표현 되는가?,4,R2,R,1/R2,1/R,Information Technology,0.675
접합 전계효과 트랜지스터(JFET)에서 3단자의 명칭으로 틀린 것은?,1,베이스,게이트,드레인,소스,Information Technology,0.5952000000000001
반도체의 특성에 대한 설명으로 틀린 것은?,2,온도가 상승함에 따라 저항값이 감소하는 부(-)의 온도계수를 갖고 있다.,불순물이 증가하면 전기저항이 급격히 증가한다.,매우 낮은 온도 0[K]에서는 절연체가 된다.,광전효과와 자계효과 등을 갖고 있다.,Information Technology,0.4761999999999999
"하드디스크(HDD), 광학드라이브(ODD) 등이 PC내부의 메인보드와 직접 연결되기 위한 인터페이스 방식이 아닌 것은?",4,SATA,EDIE,PATA,DVI,Information Technology,0.575
인터럽트 입출력 방식의 처리방법이 아닌 것은?,4,소프트웨어 폴링,데이지체인,우선순위 인터럽트,핸드쉐이크,Information Technology,0.7
연산회로 중 시프트에 의하여 바깥으로 밀려나는 비트가 그 반대편의 빈 곳에 채워지는 형태의 직렬이동과 관계되는 것은?,2,Complement,Rotate,OR,AND,Information Technology,0.4772999999999999
컴퓨터 내부에서 정보(자료)를 처리할 때 사용되는 부호는?,1,2진법,8진법,10진법,16진법,Information Technology,0.7556
비동기 전송 방식과 관계가 있는 것은?,1,스타트비트와 스톱비트,시작플래그와 종료플래그,주소부와 제어부,정보부와 오류검사,Information Technology,0.4857
주소지정방식 중 명령어 내의 오퍼랜드부에 실제 데이터가 저장된 장소의 번지를 가진 기억장소의 번지를 표현하는 것은?,3,계산에 의한 주소지정방식,직접 주소지정방식,간접 주소지정방식,임시적 주소지정방식,Information Technology,0.5135000000000001
입출력 장치의 역할로 가장 적합한 것은?,2,정보를 기억한다.,"컴퓨터의 내, 외부 사이에서 정보를 주고받는다.",명령의 순서를 제어한다.,기억 용량을 확대시킨다.,Information Technology,0.7619
입출력 장치를 선택하여 입출력 동작이 시작되면 전송이 종료될 때까지 하나의 입출력 장치를 사용하는 채널로서 디스크와 같은 고속 장치에 사용되는 채널은?,3,멀티플렉서 채널(multiplexer channel),블록 멀티플렉서 채널(block multiplexer channel),셀렉터 채널(selector channel),고정 채널(fixed channel),Information Technology,0.5278
"패리티 규칙으로 코드의 내용을 검사하며, 잘못된 비트를 찾아서 수정할 수 있는 코드는?",4,GRAY CODE,EXCESS-3 CODE,BIQUINARY CODE,HAMMING CODE,Information Technology,0.5789
2진수 10110에 대한 2의 보수는?,3,01101,01011,01010,01111,Information Technology,0.6757
2진수 0111를 그레이 코드로 올바르게 변환한 것은?,3,0111,0101,0100,1100,Information Technology,0.5278
"컴퓨터에서 연산을 위한 수치를 표현하는 방법 중 부호, 지수(exponent) 및 가수로 구성되는 것은?",1,부동 소수점 표현 형식,고정 소수점 표현 형식,언팩 표현 형식,팩 표현 형식,Information Technology,0.8
C 언어에 대한 설명으로 옳지 않은 것은?,3,이식성이 높은 언어이다.,시스템 소프트웨어를 작성하기에 용이하다.,컴파일 과정 없이 실행 가능하다.,다양한 연산자를 제공한다.,Information Technology,0.6765000000000001
운영체제의 성능평가 요소 중 시스템을 사용할 필요가 있을 때 즉시 사용 가능한 정도를 의미하는 것은?,2,Throughput,Availability,Turn Around Time,Reliability,Information Technology,0.4839
프로그램 개발 과정에서 프로그램 안에 내재하여 있는 논리적 오류를 발견하고 수정하는 작업은?,3,mapping,thrashing,debugging,paging,Information Technology,0.7037
단항(Unary) 연산에 해당하지 않는 것은?,3,SHIFT,MOVE,XOR,COMPLEMENT,Information Technology,0.5
언어번역 프로그램에 해당하지 않는 것은?,2,컴파일러,로더,인터프리터,어셈블러,Information Technology,0.6897
기계어에 대한 설명으로 옳지 않은 것은?,1,프로그램의 유지보수가 용이하다.,2진수 0과 1만을 사용하여 명령어와 데이터를 나타낸다.,실행 속도가 빠르다.,호환성이 없고 시스템별로 언어가 다를 수 있다.,Information Technology,0.7037
C 언어에서 사용되는 이스케이프 시퀸스(Escape Sequence)에 대한 설명으로 옳지 않은 것은?,4,∖r : carriage return,∖f : form feed,∖n : new line,∖b : blank,Information Technology,0.5185
인코더를 구성하는 데 불필요한 회로 요소는?,2,NAND,Flip-Flop,NOT,Diode,Information Technology,0.4194
하나의 입력 회선을 여러 개의 출력 회선에 연결하여 선택 신호에서 지정하는 하나의 회선에 출력하는 분배기라고도 하는 것은?,3,비교기(comparator),3초과 코드(excess-3 code),디멀티플렉서(demultiplexer),코드 변환기(code converter),Information Technology,0.7585999999999999
T 플립플롭 회로 2개가 직렬로 연결되어 있을 때 500[Hz]의 사격형파를 입력시킬 경우 마지막 출력되는 주파수는?,2,100[Hz],125[Hz],150[Hz],175[Hz],Information Technology,0.5385
비동기식 카운터의 특징으로 틀린 것은?,3,플립플롭의 전파 시간누적으로 인해 오작동을 일으킬 수 있다.,다음 클록을 기다리지 않으므로 고속 동작이 가능하다.,복잡한 회로 수정으로 제작비용이 증가한다.,게이트의 수리를 줄일 수 있다.,Information Technology,0.44
F=AB+A(B+C)+B(B+C)를 간소화 하면?,3,A+BC,AB+B'C,B+AC,BC+A'C,Information Technology,0.4483
RS 플립플롭 회로에서 불확실한 상태를 없애기 위하여 출력을 입력으로 궤환(feedback)시켜 반전 현상이 나타나도록 한 회로는?,4,RST 플립플롭 회로,D 플립플롭 회로,T 플립플롭 회로,JK 플립플롭 회로,Information Technology,0.4545
어떤 연산의 수행 후 연산 결과를 일시적으로 보관하는 레지스터는?,1,Accumulator,Data register,Buffer register,Address register,Information Technology,0.7241
2진수 10001001(2)을 16진수로 바꾼 값은?,1,89,137,178,211,Information Technology,0.7406999999999999
마이크로컴퓨터와 데이터 통신용 코드로서 7bit의 정보 비트와 1bit의 패리티 비트로 구성된 코드는?,4,EBCDIC 코드,BCD 코드,그레이 코드,ASCII 코드,Information Technology,0.5861999999999999
디지털 시스템에서 음수를 표현하는 방법으로 옳지 않은 것은?,1,6비트 BCD 부호,1의 보수 (1 complement),2의 보수 (2 complement),부호와 절대값(signed magnitude),Information Technology,0.8
"JK 플립플롭에서 Qn이 RESET 상태일 때, J=0, K=1 입력 신호를 인가하면 출력 Qn+1의 상태는?",1,0,1,부정,입력금지,Information Technology,0.6071
10진수 463을 16진수로 옳게 나타낸 것은?,3,1FC,1DA,1CF,1AD,Information Technology,0.72
입력펄스의 적용에 따라 미리 정해진 상태의 절차를 밟아 가는 순차회로는?,1,카운터,멀티플렉서,디멀티플렉서,비교기,Information Technology,0.7667
10진 카운터를 만드려면 플립플롭을 몇 단으로 하면 되는가?,4,1,2,3,4,Information Technology,0.6774
펄스 파형의 구간별 명칭에 대한 설명으로 틀린 것은?,1,새그(sag) : 높은 주파수에서 공진되기 때문에 발생하는 것으로 펄스 상승 부분의 진동 정도,오버슈트(overshoot) : 이상적인 펄스 파형의 상승하는 부분이 기준 레벨보다 높은 부분,언더슈트(undershoot) : 이상적인 펄스 파형의 하강하는 부분이 기준 레벨보다 낮은 부분,상승시간(rise time) : 진폭의 10%가 되는 부분에서 90%가 되는 부분까지 올라가는데 소요되는 시간,Information Technology,0.7308
"트랜지스터가 ON, OFF 스위치로서의 역할로 사용될 때 가장 적합한 영역은?",4,차단영역,활성영역 및 차단영역,포화영역,차단영역 및 포화영역,Information Technology,0.3846
"펄스폭이 0.2초, 반복 주기가 0.5초일 때 펄스의 반복 주파수는 몇 Hz 인가?",3,0.5 Hz,1 Hz,2 Hz,4 Hz,Information Technology,0.5185
다이오드를 사용한 정류회로에서 2개의 다이오드를 직렬로 연결하면 어떠한 현상이 나타나는가?,4,부하 출력의 리플전압이 커진다.,부하 출력의 리플전압이 줄어든다.,다이오드는 과전류로부터 보호된다.,다이오드는 과전압으로부터 보호된다.,Information Technology,0.45
"여러 회선의 입력이 한 곳으로 집중될 때 특정회선을 선택하도록 하므로, 선택기라 하기도 하는 회로는?",3,Decoder,Encoder,Multiplexer,Demultiplexer,Information Technology,0.5556
시프트(Shift) 회로란?,4,가산 회로에 사용된다.,감산 회로에 사용된다.,1비트 씩 사제하거나 더해주는 회로이다.,왼쪽이나 오른쪽으로 1비트 씩 이동시키는 회로이다.,Information Technology,0.8332999999999999
10진수 26(10)을 8421 BCD 코드로 변환하면?,3,0001 0000,0002 0006,0010 0110,0010 1001,Information Technology,0.8261
"A=1100, B=0110 일 때 NAND 연산 결과는?",1,1011,0011,0101,0100,Information Technology,0.7826000000000001
CPU는 처리속도가 빠르고 주변장치는 처리속도가 늦기 때문에 CPU를 효율적으로 사용하기 위한 방안으로 주변 장치에서 요청이 있을 때만 취급을 하고 그 외에는 CPU가 다른 일을 하는 방식은?,1,interrupt,isolated I/O,parallel processing,DMA,Information Technology,0.3913
"주소지정방식 중 명령어 내의 오퍼랜드부에 실제 데이터의 주소가 아니고, 실제 데이터의 주소가 저장된 곳의 주소를 표현하는 방식은?",3,직접 주소지정방식(Direct addressing),상대 주소지정방식(Relative addressing),간접 주소지정방식(Indirect addressing),즉시 주소지정방식(Immediate addressing),Information Technology,0.5652
운영체제의 성능평가 기준 중 단위시간에 처리하는 일의 양을 의미하는 것은?,2,Cost,Throughput,Turn Around Time,User Interface,Information Technology,0.5294
로더의 기능으로 거리가 먼 것은?,1,Transltion,Allocation,Linking,Loading,Information Technology,0.55
운영체제의 목적으로 거리가 먼 것은?,2,사용 가능도 향상,반환 시간 연장,신뢰성 향상,처리 능력 향상,Information Technology,0.6
원시 프로그램을 목적 프로그램으로 번역하는 것은?,2,loader,compiler,linker,operating system,Information Technology,0.7368000000000001
시스템 프로그램으로 거리가 먼 것은?,4,로더,컴파일러,운영체제,급여 계산 프로그램,Information Technology,0.6957
정상적인 경우 8×1 멀티플렉서는 몇 개의 선택선을 가지는가?,3,1,2,3,4,Information Technology,0.5455
2진수 (1110)2을 그레이 부호(gray code)로 나타낸 것으로 올바른 것은?,1,1001,1010,1011,1100,Information Technology,0.8
비동기형 리플 카운터에 대한 설명으로 옳지 않은 것은?,1,모든 플립플롭 상태가 동시에 변한다.,회로가 간단하다.,동작시간이 길다.,주로 T형이나 JK 플립플롭을 사용한다.,Information Technology,0.45
해독기(Decoder)에서 입력이 4개 일 때 최대출력 수는?,2,8,16,32,64,Information Technology,0.6537999999999999
10진수 계수기(counter)를 구성하기 위해 필요한 플립플롭의 수는?,3,1,2,4,8,Information Technology,0.68
현재의 입력값은 물론 이전의 입력 상태에 의하여 출력값이 결정되는 논리 회로는?,3,불 회로,유도 회로,순서 논리회로,조합 논리회로,Information Technology,0.5714
한 비트의 2진수를 더하여 합과 자리 올림 값을 계산하는 반가산기를 설계하고자 할 때 필요한 게이트는?,2,"배타적 OR 2개, OR 1개","배타적 OR 1개, AND 1개","배타적 NOR 1개, NAND 1개","배타적 OR 1개, AND 1개, NOT 1개",Information Technology,0.5
외부의 신호가 들어오기 전까지 안정한 상태를 유지하는 회로는?,1,래치 회로,구형파 회로,사인파 회로,시미트 트리거 회로,Information Technology,0.44
저주파 증폭기에서 음되먹임을 걸면 되먹임을 걸지 않을 때에 비하여 어떻게 되는가?,3,전압이득이 커진다.,주파수 통과대역이 좁아진다.,주파수 통과대역이 넓어진다.,파형이 일그러진다.,Information Technology,0.4828
"펄스폭이 10[μs]이고, 주파수가 1[kHz]일 때 충격 계수(duty factor)는?",3,1,0.1,0.01,0.001,Information Technology,0.5238
"800[kW], 역률 80%인 부하가 15분간 소비하는 유효 전력량은?",2,150[kWh],200[kWh],250[kWh],1600[kWh],Information Technology,0.4375
펄스회로에서 펄스가 0에서 최대 크기로 상승될 때를 100%로 한다면 상승시간(rise time)은 몇 % 로 하는가?,2,0%에서 10%,10%에서 90%,20%에서 150%,90%에서 100%,Information Technology,0.75
피어스 BC형 발진회로의 구성은 어떤 발진회로와 비슷한가?,4,이상형 발진회로,하틀레이 발진회로,빈브리지 발진회로,콜피츠 발진회로,Information Technology,0.4118
"온도에 따라서 저항값이 변화하는 소자로서 소형이며 가격이 저렴하고, 일반적으로 120[℃]정도 이하인 곳에서 널리 사용되는 것은?",3,열전대,포토다이오드,서미스터,포토트랜지스터,Information Technology,0.5789
2진수 데이터 1100 1010과 1001 1001을 AND 연산한 경우 결과 값은?,3,1101 1011,1001 0100,1000 1000,0110 0101,Information Technology,0.6667000000000001
중앙처리장치와 입출력 장치 사이의 데이터 전송 방식에 대한 종류와 특징이 일치하지 않는 것은?,1,스트로브 제어 방식은 스트로브 신호를 위한 별도의 회선이 불필요하다.,핸드세이킹 방식은 송신 쪽과 수신 쪽이 동시에 동작해야 한다.,비동기 직렬전송 방식은 저속 장치에 많이 사용된다.,큐에 의한 전송 방식은 비동기적이고 속도차가 많은 장치에 사용된다.,Information Technology,0.4
2진수 (1011)2 을 그레이 코드로 변환하면?,4,(1000 )G,(0111)G,(1010)G,(1110)G,Information Technology,0.7368000000000001
입력장치의 종류가 아닌 것은?,4,스캐너(scanner),라이트펜(light pen),디지타이저(digitizer),플로터(plotter),Information Technology,0.7778
