question,answer,A,B,C,D,Category,Human Accuracy
특허법 제29조(특허요건)의 신규성에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),2,"불특정인에게 공장을 견학시킨 경우, 그 제조상황이나 장치의 외부를 보는 것만으로 제조공정 일부의 내용을 알 수 없다고 하더라도 견학자가 그 장치의 내부를 볼 수 있거나 그 내부에 대하여 공장의 종업원에게 설명을 들을 수 있는 상황에 있었다면 그 제조공정에 관한 기술은 공연히 실시된 것으로 본다.","심사의 대상이 되는 출원의 명세서 중에 종래 기술로 기재된 발명의 경우, 출원인이 그 명세서 또는 의견서 등에서 그 종래기술이 출원 전에 공지되었음을 인정하고 있는 경우라도 이를 인용발명으로 하여 청구항에 기재된 발명의 신규성을 판단할 수 없다.","청구항을 전제부와 특징부로 나누어 기재한 청구항의 경우 전제부에 기재되었다는 사실만으로 전제부에 기재된 구성요소들이 공지된 것이라고 판단해서는 곤란하며, 설령 전제부에 기재된 모든 구성요소가 공지된 것이라고 하더라도, 그 특징부와 더불어 유기적 일체로서의 발명 전체를 판단의 대상으로 하여 선행기술과 대비하여야 한다.",인용발명에 사용된 용어를 해석할 목적으로 사전 또는 참고문헌을 인용하는 경우에는 그 사전 또는 참고문헌도 인용발명에 포함되는 것으로 취급하여 신규성판단에 사용할 수 있다.,Patent,0.0
특허요건에 관한 설명으로 옳은 것은? (다툼이 있는 경우에는 판례에 의함),2,"동일한 발명에 대하여 다른 날에 2이상의 특허출원이 있는 때에는 먼저 출원한 자가 특허를 받을 수 있으며, 이 경우 어느 하나의 출원이 취하된 때에는 그 출원은 그 때부터 없었던 것으로 본다.",특허청구범위에 기재된 청구항이 복수의 구성요소로 되어 있는 경우에는 각 구성요소가 유기적으로 결합한 전체로서의 기술사상이 진보성 판단의 대상이 되는 것이지 각 구성요소가 독립하여 진보성 판단의 대상이 되는 것은 아니다.,"정부는 특허출원한 발명이 국방상 필요하다면 특허를 하지 아니하거나 비밀로 취급할 것을 명할 수 있으며, 그러한 비밀취급명령을 위반한 때에는 그 발명에 대하여 특허를 받을 수 있는 권리를 수용할 수 있다.",특허를 받을 수 있는 권리를 가진 자가 특허출원 전에 학술논문을 발표하여 발명의 신규성이 상실된 경우 그 날부터 6개월 이내에 특허출원을 하여야 신규성이 상실되지 아니한 것으로 본다.,Patent,0.0
특허법 제30조의 공지 등이 되지 아니한 발명으로 보는 경우(이하 '공지예외 적용'이라 함)에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,"국제특허출원한 발명에 관하여 공지예외적용을 받고자 하는 경우, 공지행위가 있었던 날부터 12개월 이내에 국제출원하고, 그 취지를 기재한 서면 및 증명서류를 기준일 경과 후 30일 이내에 제출하여야 한다.","특허를 받을 수 있는 권리를 가진 자가 특허출원 전에 해당 발명을 공지한 경우, 그에 대해 공지예외적용을 받기 위해서 특허출원서에는 해당 공지사실을 특정하여 기재할 필요 없이 '공지예외의 적용을 받고자 한다'라는 취지만을 표시하는 것으로 충분하다.","국내우선권주장출원에 있어서, 그 선출원이 발명의 공지일부터 12개월 이내에 공지예외적용 요건에 맞추어 특허출원을 하였고, 그 선출원에 기초하여 국내우선권주장의 후출원을 하는 경우, 후출원의 특허출원일이 그 공지일부터 12개월 이내가 아니더라도 공지예외적용을 받을 수 있다.","특허를 받을 수 있는 권리를 가진 자가 특허출원 전에 해당 발명을 공지한 후 공지예외적용 요건을 갖추어 특허출원을 하였는데, 그 공지일과 특허출원일 사이에 제3자에 의하여 해당 발명과 동일한 발명의 공개가 있는 경우, 제3자의 공지가 공지예외적용에 해당하는 공지에 의하여 지득한 발명의 공개라는 사실이 명백하더라도 출원인이 그 의사에 반하여 공지된 발명이라는 사실을 입증하지 못하면 그 특허출원은 제3자의 공지에 기초하여 신규성을 상실한다.",Patent,0.0
특허법상 심결취소소송에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,"특허발명에 관한 권리범위확인심판 심결취소소송의 상고심 계속 중 그 특허의 정정심결이 확정된 경우, 정정 전의 특허발명을 대상으로 하여 확인대상발명이 그 특허발명의 권리범위에 속하는지 여부를 심리ㆍ판단한 원심판결에는 민사소송법상 판결에 기초가 된 민사나 형사의 판결, 그 밖의 재판 또는 행정처분이 다른 재판이나 행정처분에 의하여 바뀐 때에 해당하는 재심사유가 존재한다.",특허심판단계에서 소극적으로 하지 않았던 주장을 심결취소소송단계에서 하였다는 사정만으로 금반언 또는 신의칙 위반으로 볼 수 없다.,거절결정불복심판청구를 기각하는 심결의 취소소송에서 특허청장은 거절결정의 이유와 다른 새로운 거절이유가 아닌 한 심결에서 판단되지 않은 사항을 심결의 결론을 정당하게 하는 사항으로 주장ㆍ입증할 수 있다.,"특허발명을 무효로 한다는 주문의 심결을 취소한 판결의 확정 후에 다시 특허심판원에서 심리가 행해지는 취소확정판결에 따른 심판사건에서, 취소된 심결에서 채택한 무효사유와 다른 무효사유로 당해 특허발명을 무효로 한다는 주문의 심결을 다시 하는 것은 취소확정판결의 기속력에 저촉된다.",Patent,0.0
심판청구방식에 관한 설명으로 옳지 않은 것은?,3,심판청구서에 기재한 당사자 중 특허권자의 기재를 바로잡기 위하여 보정(추가하는 것을 포함한다)하는 경우는 요지변경이 아니다.,"적극적 권리범위확인심판에서 확인대상발명의 설명서 및 도면에 대하여 피청구인이 자신이 실제로 실시하고 있는 발명과 비교하여 다르다고 주장하는 경우, 청구인이 피청구인의 실시 발명과 동일하게 하기 위하여 확인대상발명의 설명서 및 도면을 보정하는 것은 요지변경이 아니다.",특허무효심판의 심판청구서에 기재한 청구의 취지 및 그 이유를 나중에 보정한 경우는 요지변경이 아니다.,"권리범위확인심판을 청구하면서 확인대상발명의 설명서 및 필요한 도면을 첨부하지 아니한 경우, 심판장은 기간을 정하여 보정을 명하여야 한다.",Patent,0.0
선출원주의에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),1,"동일인이 동일한 발명에 대하여 특허와 실용신안을 같은 날에 출원하여 모두 등록된 경우, 등록된 특허권이나 실용신안권 중 어느 하나가 포기되면 경합출원으로 인한 하자는 치유된다.","특허법 제36조(선출원)를 적용하기 위한 전제로서 두 발명이 서로 동일한 발명인지 여부는 대비되는 두 발명의 실체를 파악하여야 하므로, 대비되는 두 발명이 각각 물건의 발명과 방법의 발명으로 서로 발명의 범주가 다르다고 하여 곧바로 동일한 발명이 아니라고 단정할 수 없다.","특허출원이 무효, 취하 또는 포기된 경우에는 선출원의 지위가 인정되지 아니한다.",동일한 발명에 대하여 다른 날에 2 이상의 출원이 있는 경우에는 먼저 출원한 자만이 그 발명에 대하여 특허를 받을 수 있다.,Patent,1.0
특허를 받을 수 있는 권리에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,특허출원전에 있어서 특허를 받을 수 있는 권리의 양도는 양수인이 출원하지 않는 한 제3자에게 대항할 수 없다.,"특허를 받을 수 있는 권리가 공유인 경우 공유자 중 일부에 의한 출원은 거절되며, 심판청구도 공유자 전원이 하여야 한다.",동일한 자로부터 승계한 동일한 특허를 받을 수 있는 권리에 대하여 같은 날에 2 이상 특허출원이 있는 때에는 특허출원인의 협의에 의해 정한 자의 승계만이 효력을 갖는다.,"특허를 받을 수 있는 권리의 양도계약에 따라 양수인 명의로 출원인명의변경이 이루어지고 양수인이 특허권의 설정등록을 받은 경우, 그 양도계약이 무효나 취소 등의 사유로 효력을 상실하게 되는 때에 그 특허를 받을 수 있는 권리와 설정등록이 이루어진 특허권이 동일한 발명에 관한 것이라도 양도인은 양수인에 대하여 그 특허권에 관하여 이전등록을 청구할 수 없다.",Patent,0.0
특허청구범위의 기재에 관한 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),4,"의약에 있어서는 그 작용효과(의학적 효과)에 대한 객관적인 기재가 명세서기재의 필수적인 요건이므로, 발명의 상세한 설명에 특허청구범위를 이루는 발명의 작용효과에 대한 기재가 없다면 명세서의 기재불비에 해당한다.","특허의 명세서에 기재된 용어는 명세서에 그 용어를 특정한 의미로 정의하여 사용하고 있지 않은 이상, 당해 기술 분야에서 통상의 지식을 가진 자에게 일반적으로 인식되는 용어의 의미에 따라 명세서 전체를 통하여 통일되게 해석되어야 한다.","특허청구범위가 상세한 설명에 의하여 뒷받침되고 있는지 여부는 특허출원 당시의 기술 수준을 기준으로 하여 그 발명과 관련된 기술분야에서 평균적 기술 능력을 가진 사람의 입장에서 볼 때, 그 특허청구범위와 발명의 상세한 설명의 각 내용이 일치하여 그 명세서만으로 특허청구범위에 속한 기술구성이나 그 결합 및 작용효과를 일목요연하게 이해할 수 있는가에 의하여 판단하여야 한다.","동일한 발명사상의 내용이 청구항을 달리하여 중복하여 기재되어 있다면, 특허청구의 범위가 명확하고 간결하게 기재되어 있어 당해 기술분야에서 통상의 지식을 가진 자가 그 내용을 명확하게 이해하고 인식하여 재현할 수 있더라도 명세서의 기재불비에 해당한다.",Patent,0.0
특허에 관한 소송의 관할과 관련된 설명으로 옳지 않은 것은? (다툼이 있는 경우에는 판례에 의함),2,심결에 대한 소 및 심판청구서나 재심청구서의 각하결정에 대한 소는 특허법원의 전속관할로 한다.,통상실시권허여심판에서 정한 대가의 심결 및 심판비용의 심결 또는 결정에 대하여는 독립하여 특허법원에 소를 제기할 수 있다.,"특허권은 등록국법에 의하여 발생하는 권리이므로, 우리나라 법원은 다른 국가의 특허권 부여행위와 그 행위의 유효성에 대하여 판단할 수 없다.",특허권의 성립에 관한 것이거나 유ㆍ무효 또는 취소 등을 구하는 소는 일반적으로 등록국 또는 등록이 청구된 국가 법원의 전속관할에 속하는 것으로 볼 수 있다.,Patent,0.0
특허권 침해의 구제에 관한 설명으로 옳은 것은? (다툼이 있는 경우에는 판례에 의함),2,"회사 임원의 직무발명에 관하여 회사 등이 그 임원을 배제한 채 회사 명의의 특허등록을 마친 경우, 위 임원이 입은 재산상 손해액의 산정 시에는 특허법 제128조(손해액의 추정등) 제2항을 유추적용 할 수 있다.","특허법 제128조(손해액의 추정등) 제2항은 특허권자에게 손해가 발생한 경우에 그 손해액을 평가하는 방법을 정한 것에 불과하여 침해행위에도 불구하고 특허권자에게 손해가 없는 경우에는 적용되지 않지만, 손해의 발생에 관한 주장ㆍ입증의 정도에 있어서는 경업관계 등으로 인하여 손해 발생의 염려 내지 개연성이 있음을 주장ㆍ입증하는 것으로 충분하다.",특허법에서는 “법원은 특허권 또는 전용실시권의 침해에 관한 소송에 있어서 손해가 발생된 것은 인정되나 그 손해액을 입증하기 위하여 필요한 사실을 입증하는 것이 해당 사실의 성질상 극히 곤란한 경우에는 변론 전체의 취지와 증거조사의 결과에 기초하여 상당한 손해액을 인정할 수 있다”고 하여 법관에게 손해액 산정에 관하여 자유재량권을 부여하고 있다.,"특허권의 존속기간이 경과하였더라도 특허권자는 소멸된 특허권을 기초로 하여 손해배상, 특허침해금지 및 특허침해제품의 폐기를 청구할 수 있다.",Patent,0.0
